Barcelona,Madrid,Valencia,Sevilla,Zaragoza,Málaga,Murcia,Bilbao,Vigo,Córdoba,Valladolid,Hospitalet de llobregat
999999999,625,352,999999999,314,999999999,999999999,660,999999999,999999999,728,8
621,999999999,357,999999999,314,999999999,399,397,999999999,394,217,613
350,355,999999999,999999999,309,655,228,999999999,999999999,999999999,999999999,343
999999999,532,999999999,999999999,999999999,205,999999999,882,726,141,586,999999999
312,317,308,999999999,999999999,843,524,303,999999999,713,357,304
999999999,531,999999999,200,834,999999999,400,999999999,999999999,159,739,999999999
999999999,398,226,523,515,399,999999999,999999999,999999999,476,999999999,578
609,402,599,999999999,302,920,783,999999999,665,999999999,279,999999999
1150,597,999999999,999999999,848,999999999,999999999,664,999999999,781,443,999999999
862,397,521,133,723,163,435,999999999,779,999999999,604,999999999
681,213,547,584,363,999999999,999999999,281,443,583,999999999,999999999
11,615,345,999999999,304,999999999,999999999,601,999999999,999999999,719,999999999
